machine_id,published,lifecycle_status,market,image_filename,image_alt_text,source_url,source_title,last_reviewed_date,notes,machine,manufacturer,country_of_manufacture,model_year,rated_hp,max_hp,max_hp_with_ipm,max_torque_nm,transmission,transmission_filter_tags,transmission_class,top_speed_filter,cylinders_filter,top_speed_kmh,wheelbase_mm,unladen_weight_kg,max_permissible_weight_40_kmh_kg,max_permissible_weight_50_kmh_kg,max_permissible_weight_60_kmh_kg,rated_hydraulic_flow_lpm,max_hydraulic_flow_lpm,max_scvs,rear_hitch_capacity_kg,front_hitch_capacity_kg,engine_capacity_l,number_of_cylinders,engine_manufacturer,cab_suspension,fuel_capacity_l,engine_stage_tier,adblue_tank_l,rear_pto_option,rear_pto_filter_tags
john-deere-5120m-2025-au,TRUE,,AU,,,,,,,John Deere 5120M,John Deere,India,2025,120,125,,,"PowrReverser™, PowrQuad™ PLUS, Powr8™",Mechanical / Shuttle|Semi-powershift,Powershift / Semi-powershift,40,4,40,2350,4175,,,,94 / 97,97,3 + 2,"2336, 2699 / 3164, 3569",1882,4.5,4,John Deere,,142 / 165,Final Tier 4,12,540/540E or 540/540E/1000,540E|540|1000
john-deere-5130m-2025-au,TRUE,,AU,,,,,,,John Deere 5130M,John Deere,India,2025,130,135,,,"PowrQuad™ PLUS,Powr8™",Semi-powershift,Powershift / Semi-powershift,40,4,40,2350,4175,,,,97,97,3 + 2,"3164, 3569",1882,4.5,4,John Deere,,165,Final Tier 4,12,540/540E or 540/540E/1000,540E|540|1000
john-deere-6m-95-2025-au,TRUE,,AU,,,,,,,John Deere 6M 95,John Deere,Germany,2025,95,105,120,481,"PowrQuad™ Plus, AutoQuad™ Plus, CommandQuad™ Plus, AutoPowr™ (IVT)",Semi-powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,4,50,2400,5900,10450,10450,,114 / 80,114,4 + 3,"2750, 3600",3300,4.5,4,John Deere,Optional (Mechanical Cab Suspension),175 / 200,Final Tier 4,19,"540E, 540, 1000",540E|540|1000
john-deere-6m-105-2025-au,TRUE,,AU,,,,,,,John Deere 6M 105,John Deere,Germany,2025,105,116,130,523,"PowrQuad™ Plus, AutoQuad™ Plus, CommandQuad™ Plus, AutoPowr™ (IVT)",Semi-powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,4,50,2400,5900,10450,10450,,114 / 80,114,4 + 3,"2750, 3600",3300,4.5,4,John Deere,Optional (Mechanical Cab Suspension),175 / 200,Final Tier 4,19,"540E, 540, 1000",540E|540|1000
john-deere-6m-110-2025-au,TRUE,,AU,,,,,,,John Deere 6M 110,John Deere,Germany,2025,110,121,,497,"PowrQuad™ Plus, AutoQuad™ Plus, CommandQuad™ Plus",Semi-powershift,Powershift / Semi-powershift,40,4,40,2580,6200,10450,,,114 / 80,114,4 + 3,"3600, 4100",3300,4.5,4,John Deere,Optional (Mechanical Cab Suspension),260,Tier 2,,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6m-125-2025-au,TRUE,,AU,,,,,,,John Deere 6M 125,John Deere,Germany,2025,125,138,150,586,"PowrQuad™ Plus, AutoQuad™ Plus, CommandQuad™ Plus, AutoPowr™ (IVT)",Semi-powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,4,50,2400,5900,10450,10450,,114 / 80,114,4 + 3,"2750, 3600",3300,4.5,4,John Deere,Optional (Mechanical Cab Suspension),175 / 200,Final Tier 4,19,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6m-130-2025-au,TRUE,,AU,,,,,,,John Deere 6M 130,John Deere,Germany,2025,130,143,156,627,"PowrQuad™ Plus, AutoQuad™ Plus, CommandQuad™ Plus, AutoPowr™ (IVT)",Semi-powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,4,50,2580,6200,10450,10450,,114 / 80,114,4 + 3,"3600, 4100",3300,4.5,4,John Deere,Optional (Mechanical Cab Suspension),205/225,Tier 3 / Final Tier 4,14,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6m-140-2025-au,TRUE,,AU,,,,,,,John Deere 6M 140,John Deere,Germany,2025,140,154,,632,"PowrQuad™ Plus, AutoQuad™ Plus, CommandQuad™ Plus",Semi-powershift,Powershift / Semi-powershift,40,6,40,2765,7800,12400,,,114,114,4 + 3,"3600, 4100",3300,6.8,6,John Deere,Optional (Mechanical Cab Suspension),325,Tier 2,,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6m-155-2025-au,TRUE,,AU,,,,,,,John Deere 6M 155,John Deere,Germany,2025,155,170,182,767,"PowrQuad™ Plus, AutoQuad™ Plus, CommandQuad™ Plus, AutoPowr™ (IVT)",Semi-powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,2765,7800,12400,12400,,114 / 155,155,4 + 3,"3500, 3950",3300,6.8,6,John Deere,Optional (Mechanical Cab Suspension),285/330,Tier 3 / Final Tier 4,16,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6m-180-2025-au,TRUE,,AU,,,,,,,John Deere 6M 180,John Deere,Germany,2025,180,198,208,876,"PowrQuad™ Plus, AutoQuad™ Plus, CommandQuad™ Plus, AutoPowr™ (IVT)",Semi-powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,2800,8500,13450,13450,,114 / 155,155,4 + 3,"4600, 5150",3300,6.8,6,John Deere,Optional (Mechanical Cab Suspension),325/425,Tier 3 / Final Tier 4,20,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6m-200-2025-au,TRUE,,AU,,,,,,,John Deere 6M 200,John Deere,Germany,2025,200,220,229,964,"PowrQuad™ Plus, AutoQuad™ Plus, CommandQuad™ Plus, AutoPowr™ (IVT)",Semi-powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,2800,8500,13450,13450,,114 / 155,155,4 + 3,"4600, 5150",3300,6.8,6,John Deere,Optional (Mechanical Cab Suspension),325/425,Tier 3 / Final Tier 4,20,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6m-220-2025-au,TRUE,,AU,,,,,,,John Deere 6M 220,John Deere,Germany,2025,220,242,249,1025,"PowrQuad™ Plus, AutoQuad™ Plus, CommandQuad™ Plus, AutoPowr™ (IVT)",Semi-powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,2800,8500,13450,13450,,114 / 155,155,4 + 3,"4600, 5150",3300,6.8,6,John Deere,Optional (Mechanical Cab Suspension),325/425,Tier 3 / Final Tier 4,20,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6m-230-2025-au,TRUE,,AU,,,,,,,John Deere 6M 230,John Deere,Germany,2025,230,253,260,1095,AutoPowr™ (IVT),CVT / IVT / EVT,CVT / IVT / EVT,50,6,50,2900,9300,15000,15000,,155 / 195,195,4 + 3,"5900, 6700",4400,6.8,6,John Deere,Optional (Mechanical Cab Suspension),410/470,Tier 3 / Final Tier 4,25,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6m-250-2025-au,TRUE,,AU,,,,,,,John Deere 6M 250,John Deere,Germany,2025,250,275,281,1183,AutoPowr™ (IVT),CVT / IVT / EVT,CVT / IVT / EVT,50,6,50,2900,9300,15000,15000,,156 / 195,195,4 + 3,"5900, 6700",4400,6.8,6,John Deere,Optional (Mechanical Cab Suspension),410/470,Tier 3 / Final Tier 4,25,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6r-110-2022-au,TRUE,,AU,,,,,,,John Deere 6R 110,John Deere,Germany,2022,110,121,135,543,"AutoQuad™ Plus, CommandQuad™ Plus, DirectDrive, AutoPowr™ (IVT)",Semi-powershift|Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,4,50,2580,6500,10450,10450,,114,114,5 + 3,4350,3300,4.5,4,John Deere,Optional (Hydraulic Cab Suspension),199/225,Final Tier 4,14,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6r-120-2022-au,TRUE,,AU,,,,,,,John Deere 6R 120,John Deere,Germany,2022,120,132,145,585,"AutoQuad™ Plus, CommandQuad™ Plus, DirectDrive, AutoPowr™ (IVT)",Semi-powershift|Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,4,50,2580,6500,10450,10450,,114,114,5 + 3,4350,3300,4.5,4,John Deere,Optional (Hydraulic Cab Suspension),199/225,Final Tier 4,14,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6r-130-2022-au,TRUE,,AU,,,,,,,John Deere 6R 130,John Deere,Germany,2022,130,143,156,627,"AutoQuad™ Plus, CommandQuad™ Plus, DirectDrive, AutoPowr™ (IVT)",Semi-powershift|Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,4,50,2580,6500,10450,10450,,114,114,5 + 3,4350,3300,4.5,4,John Deere,Optional (Hydraulic Cab Suspension),199/225,Final Tier 4,14,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6r-140-2022-au,TRUE,,AU,,,,,,,John Deere 6R 140,John Deere,Germany,2022,140,154,166,669,"AutoQuad™ Plus, CommandQuad™ Plus, DirectDrive, AutoPowr™ (IVT)",Semi-powershift|Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,4,50,2580,6500,10450,10450,,114 / 155,155,5 + 3,4350,3300,4.5,4,John Deere,Optional (Hydraulic Cab Suspension),199/225,Final Tier 4,14,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6r-145-2022-au,TRUE,,AU,,,,,,,John Deere 6R 145,John Deere,Germany,2022,145,160,192,773,"AutoQuad™ Plus, DirectDrive, AutoPowr™ (IVT)",Semi-powershift|Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,2765,7900,11750,11750,,114 / 155,155,6 + 3,4200,3300,6.8,6,John Deere,Optional (Hydraulic Cab Suspension),280/322,Final Tier 4,16,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6r-150-2022-au,TRUE,,AU,,,,,,,John Deere 6R 150,John Deere,Germany,2022,150,165,177,711,AutoPowr™ (IVT),CVT / IVT / EVT,CVT / IVT / EVT,50,4,50,2580,6500,10450,10450,,114 / 155,155,5 + 3,4350,3300,4.5,4,John Deere,Optional (Hydraulic Cab Suspension),199/225,Final Tier 4,14,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6r-155-2022-au,TRUE,,AU,,,,,,,John Deere 6R 155,John Deere,Germany,2022,155,171,203,815,"AutoQuad™ Plus, DirectDrive, AutoPowr™ (IVT)",Semi-powershift|Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,2765,7900,11750,11750,,114 / 155,155,6 + 3,4200,3300,6.8,6,John Deere,Optional (Hydraulic Cab Suspension),280/322,Final Tier 4,16,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6r-165-2022-au,TRUE,,AU,,,,,,,John Deere 6R 165,John Deere,Germany,2022,165,182,213,842,"DirectDrive, AutoPowr™ (IVT)",Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,2765,7900,11750,11750,,114 / 155,155,6 + 3,4200,3300,6.8,6,John Deere,Optional (Hydraulic Cab Suspension),280/322,Final Tier 4,16,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6r-175-2022-au,TRUE,,AU,,,,,,,John Deere 6R 175,John Deere,Germany,2022,175,193,223,899,"AutoQuad™ Plus, DirectDrive, AutoPowr™ (IVT)",Semi-powershift|Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,2800,8800,13450,13450,,114 / 155,155,6 + 3,5450,3300,6.8,6,John Deere,Optional (Hydraulic Cab Suspension),324/421,Final Tier 4,20,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6r-185-2022-au,TRUE,,AU,,,,,,,John Deere 6R 185,John Deere,Germany,2022,185,204,234,941,AutoPowr™ (IVT),CVT / IVT / EVT,CVT / IVT / EVT,50,6,50,2765,7900,11750,11750,,114 / 155,155,6 + 3,4200,3300,6.8,6,John Deere,Optional (Hydraulic Cab Suspension),280/322,Final Tier 4,16,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6r-195-2022-au,TRUE,,AU,,,,,,,John Deere 6R 195,John Deere,Germany,2022,195,215,244,982,"AutoQuad™ Plus, DirectDrive, AutoPowr™ (IVT)",Semi-powershift|Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,2800,8800,13450,13450,,114 / 155,155,6 + 3,5450,3300,6.8,6,John Deere,Optional (Hydraulic Cab Suspension),324/421,Final Tier 4,20,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6r-215-2022-au,TRUE,,AU,,,,,,,John Deere 6R 215,John Deere,Germany,2022,215,237,259,1025,"AutoQuad™ Plus, DirectDrive, AutoPowr™ (IVT)",Semi-powershift|Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,2800,8800,13450,13450,,114 / 155,155,6 + 3,5450,3300,6.8,6,John Deere,Optional (Hydraulic Cab Suspension),324/421,Final Tier 4,20,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6r-230-2022-au,TRUE,,AU,,,,,,,John Deere 6R 230,John Deere,Germany,2022,230,253,281,1129,AutoPowr™ (IVT),CVT / IVT / EVT,CVT / IVT / EVT,50,6,50,2900,8800,13450,13450,,160,160,6 + 3,7000,4400,6.8,6,John Deere,Hydraulic Cab Suspension in base,410/470,Final Tier 4,25,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-6r-250-2022-au,TRUE,,AU,,,,,,,John Deere 6R 250,John Deere,Germany,2022,250,275,301,1212,AutoPowr™ (IVT),CVT / IVT / EVT,CVT / IVT / EVT,50,6,50,2900,8800,13450,13450,,160,160,6 + 3,7000,4400,6.8,6,John Deere,Hydraulic Cab Suspension in base,410/470,Final Tier 4,25,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-7r-210-2025-au,TRUE,,AU,,,,,,,John Deere 7R 210,John Deere,USA,2025,210,231,245,,"e23 PowerShift, AutoPowr™ (IVT)",Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,2925,11500,18000,16000,,162 / 227,227,6 + 3,"6900, 7850",3500,6.8,6,John Deere,Optional Adjustable Cab Suspention,463/513,"Stage 2, Final Tier 4",26,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-7r-230-2025-au,TRUE,,AU,,,,,,,John Deere 7R 230,John Deere,USA,2025,230,253,265,,"e23 PowerShift, AutoPowr™ (IVT)",Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,2925,11500,18000,16000,,162 / 227,227,6 + 3,"6900, 7850",3500,6.8,6,John Deere,Optional Adjustable Cab Suspention,463/513,"Stage 2, Final Tier 4",26,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-7r-250-2025-au,TRUE,,AU,,,,,,,John Deere 7R 250,John Deere,USA,2025,250,275,285,,"e23 PowerShift, AutoPowr™ (IVT)",Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,2925,11500,18000,16000,,162 / 227,227,6 + 3,"6900, 7850",3500,6.8,6,John Deere,Optional Adjustable Cab Suspention,463/513,Final Tier 4,26,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-7r-270-2025-au,TRUE,,AU,,,,,,,John Deere 7R 270,John Deere,USA,2025,270,297,305,1245,"e23 PowerShift, AutoPowr™ (IVT)",Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,2925,11500,18000,16000,,162 / 227,227,6 + 3,"6900, 7850",3500,6.8,6,John Deere,Optional Adjustable Cab Suspention,463/513,Final Tier 4,26,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-7r-290-2025-au,TRUE,,AU,,,,,,,John Deere 7R 290,John Deere,USA,2025,290,319,332,1358,"e23 PowerShift, AutoPowr™ (IVT)",Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,2925,11500,18000,16000,,162 / 227,227,6 + 3,"6900, 7850",3500,9,6,John Deere,Optional Adjustable Cab Suspention,463/513,Final Tier 4,26,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-7r-310-2025-au,TRUE,,AU,,,,,,,John Deere 7R 310,John Deere,USA,2025,310,341,352,1452,"e23 PowerShift, AutoPowr™ (IVT)",Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,2925,11500,18000,16000,,162 / 227,227,6 + 3,"6900, 7850",3500,9,6,John Deere,Optional Adjustable Cab Suspention,463/513,Final Tier 4,26,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-7r-330-2025-au,TRUE,,AU,,,,,,,John Deere 7R 330,John Deere,USA,2025,330,363,373,1545,"e23 PowerShift, AutoPowr™ (IVT)",Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,2925,11500,18000,16000,,162 / 227,227,6 + 3,"6900, 7850",3500,9,6,John Deere,Optional Adjustable Cab Suspention,463/513,Final Tier 4,26,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-7r-350-2025-au,TRUE,,AU,,,,,,,John Deere 7R 350,John Deere,USA,2025,350,385,388,1580,AutoPowr™ (IVT),CVT / IVT / EVT,CVT / IVT / EVT,50,6,50,2925,11500,18000,16000,,162 / 227,227,6 + 3,"6900, 7850",3500,9,6,John Deere,Optional Adjustable Cab Suspention,463/513,Final Tier 4,26,"540E, 540, 1000E, 1000",540E|540|1000E|1000
john-deere-8r-230-2025-au,TRUE,,AU,,,,,,,John Deere 8R 230,John Deere,USA,2025,230,253,265,1077,"16-speed PowerShift, e23 PowerShift, AutoPowr™ (IVT)",Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,3050,12700,20003,20003,,227 / 318,318,6 + 2,"6894, 9072",5200,9,6,John Deere,Optional Adjustable Cab Suspention,727,Tier 3 / Final Tier 4,37,"540, 1000E, 1000",540|1000E|1000
john-deere-8r-250-2025-au,TRUE,,AU,,,,,,,John Deere 8R 250,John Deere,USA,2025,250,275,285,1171,"16-speed PowerShift, e23 PowerShift, AutoPowr™ (IVT)",Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,3050,12700,20003,20003,,227 / 318,318,6 + 2,"6894, 9072",5200,9,6,John Deere,Optional Adjustable Cab Suspention,727,Tier 3 / Final Tier 4,37,"540, 1000E, 1000",540|1000E|1000
john-deere-8r-280-2025-au,TRUE,,AU,,,,,,,John Deere 8R 280,John Deere,USA,2025,280,308,315,1311,"16-speed PowerShift, e23 PowerShift, AutoPowr™ (IVT)",Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,3050,12700,20003,20003,,227 / 318,318,6 + 2,"6894, 9072",5200,9,6,John Deere,Optional Adjustable Cab Suspention,727,Tier 3 / Final Tier 4,37,"540, 1000E, 1000",540|1000E|1000
john-deere-8r-310-2025-au,TRUE,,AU,,,,,,,John Deere 8R 310,John Deere,USA,2025,310,341,345,1452,"16-speed PowerShift, e23 PowerShift, AutoPowr™ (IVT)",Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,3050,12700,20003,20003,,227 / 318,318,6 + 2,"6894, 9072",5200,9,6,John Deere,Optional Adjustable Cab Suspention,727,Tier 3 / Final Tier 4,37,"540, 1000E, 1000",540|1000E|1000
john-deere-8r-340-2025-au,TRUE,,AU,,,,,,,John Deere 8R 340,John Deere,USA,2025,340,374,375,1592,"e23 PowerShift, AutoPowr™ (IVT)",Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,3050,12700,20003,20003,,227 / 318,318,6 + 2,"6894, 9072",5200,9,6,John Deere,Optional Adjustable Cab Suspention,727,Tier 3 / Final Tier 4,37,"540, 1000E, 1000",540|1000E|1000
john-deere-8r-370-2025-au,TRUE,,AU,,,,,,,John Deere 8R 370,John Deere,USA,2025,370,407,405,1732,"e23 PowerShift, AutoPowr™ (IVT)",Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),50,6,50,3050,12700,20003,20003,,227 / 318,318,6 + 2,"6894, 9072",5200,9,6,John Deere,Optional Adjustable Cab Suspention,727,Tier 3 / Final Tier 4,37,"540, 1000E, 1000",540|1000E|1000
john-deere-8r-410-2025-au,TRUE,,AU,,,,,,,John Deere 8R 410,John Deere,USA,2025,410,443,445,1851,eAutoPowr™ (EVT),CVT / IVT / EVT,CVT / IVT / EVT,50,6,50,3050,12700,20003,20003,,227 / 318,318,6 + 2,"6894, 9072",5200,9,6,John Deere,Optional Adjustable Cab Suspention,727,Tier 3 / Final Tier 4,37,"540, 1000E, 1000",540|1000E|1000
john-deere-8r-440-2027-au,TRUE,,AU,,,,,,,John Deere 8R 440,John Deere,USA,2027,440,484,524,2196,eAutoPowr EVT,CVT / IVT / EVT,CVT / IVT / EVT,60,6,60,3350,17000,24000,24000,20000,320 / 418,418,6 Rear + 2 Front,10886,5640,13.6,6,John Deere,Optional Adjustable Cab Suspention,936,Stage 3,,"1000, 1000E or 1300",1000E|1000|1300
john-deere-8r-490-2027-au,TRUE,,AU,,,,,,,John Deere 8R 490,John Deere,USA,2027,490,539,579,2445,eAutoPowr EVT,CVT / IVT / EVT,CVT / IVT / EVT,60,6,60,3350,17000,24000,24000,20000,320 / 418,418,6 Rear + 2 Front,10886,5640,13.6,6,John Deere,Optional Adjustable Cab Suspention,936,Stage 3,,"1000, 1000E or 1300",1000E|1000|1300
john-deere-8r-540-2027-au,TRUE,,AU,,,,,,,John Deere 8R 540,John Deere,USA,2027,540,594,634,2695,eAutoPowr EVT,CVT / IVT / EVT,CVT / IVT / EVT,60,6,60,3350,17000,24000,24000,20000,320 / 418,418,6 Rear + 2 Front,10886,5640,13.6,6,John Deere,Optional Adjustable Cab Suspention,936,Stage 3,,"1000, 1000E or 1300",1000E|1000|1300
john-deere-8rt-310-2025-au,TRUE,,AU,,,,,,,John Deere 8RT 310,John Deere,USA,2025,310,341,345,1452,"e23 PowerShift, AutoPowr™ (IVT)",Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),40,6,40,2477,16600,18200,,,227,227,6 Rear,"9072, 6894",,9,6,John Deere,4-post cab suspension & AirCushion™ Suspension,764,Tier 3 / Final Tier 4,31,1000,1000
john-deere-8rt-340-2025-au,TRUE,,AU,,,,,,,John Deere 8RT 340,John Deere,USA,2025,340,374,375,1592,"e23 PowerShift, AutoPowr™ (IVT)",Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),40,6,40,2477,16600,18200,,,227,227,6 Rear,"9072, 6894",,9,6,John Deere,4-post cab suspension & AirCushion™ Suspension,764,Tier 3 / Final Tier 4,31,1000,1000
john-deere-8rt-370-2025-au,TRUE,,AU,,,,,,,John Deere 8RT 370,John Deere,USA,2025,370,407,405,1732,"e23 PowerShift, eAutoPowr™ (EVT)",Full powershift|CVT / IVT / EVT,Mixed (CVT + stepped),40,6,40,2477,16600,18200,,,227,227,6 Rear,"9072, 6894",,9,6,John Deere,4-post cab suspension & AirCushion™ Suspension,764,Tier 3 / Final Tier 4,31,1000,1000
